Numero;Pergunta;Alternativa_A;Alternativa_B;Alternativa_C;Alternativa_D;Alternativa_E;Gabarito
254;"ato normativo em ação direta ou em ação declaratória é irrecorrÃvel, ao preparo para o exercÃcio da cidadania, como a qualificação para o ressalvada a interposição de embargos declaratórios, não podendo, trabalho. Não se cuida, entretanto, nessa situação, do exercÃcio de uma igualmente, ser objeto de ação rescisória. profissão, no sentido do 4. Ação direta de inconstitucionalidade não conhecida, por ilegitimidade ativa da autora, devendo os autos, entretanto, ser apensados aos da ADIN n. 818-8/600 (grifos nossos); tucionalidade, assinale a alternativa incorreta. 16 da Lei 9.868/1999, proposta a ação declaratória, não se admitirá";"É impossÃvel o esclarecimento de matéria de fato em desistência; sede de Ação Direta de Inconstitucionalidade. de ADI, em regra, são retroativos (ex tunc), pois a lei é inconstitucional";A União Nacional dos Estudantes não tem legitimi- desde a sua origem. Vale Lembrar que há possibilidade de modulação dade para propor Ação Direta de Inconstitucionali- desses efeitos, conforme disposto no art. 27 da Lei 9.868/1999.;As decisões proferidas em Ação Direta de Inconstitu- Nesse caso, seria correto afirmar que a lei X;Os efeitos da decisão que afirma a inconstitucionali- Ação Direta de Inconstitucionalidade por Omissão estão dade da norma em sede de Ação Direta de Inconsti- regulamentadas no âmbito infraconstitucional pela Lei tucionalidade, em regra, são ex tunc. 9.868/1999, que dispõe sobre o processo e julgamento destas ações perante o Supremo Tribunal Federal. 9.868/1999, em caso de necessidade de esclarecimento de matéria Tomando por base o constante na referida lei, assinale a;;A
255;9.868/1999), ADI por omissão ou ADO (868/1999) e ADC (868/1999). diferenças entre a ADI e a ADC, À EXCEÇÃO DE UMA. consolidado do STF e da doutrina, qual, dentre os órgãos (B) Manifestação do Advogado-Geral da União. e entidades listados abaixo, NÃO precisa demonstrar (C) Rol de legitimados para a propositura da ação. pertinência temática como condição para ajuizar Ação (D) Exigência de controvérsia judicial relevante. Direta de Inconstitucionalidade?;Mesa de Assembleia Legislativa ou Câmara Legislativa (DF). ou ato normativo federal ou estadual que afronte a Constituição Federal. Na ADC apenas lei ou ato normativo federal é que pode ser objeto (art.;Conselho Federal da OAB. 102, I, “a”, da CF). Portanto, o objeto das ações é considerado uma;"Entidade de Classe de âmbito nacional. diferença entre a ADI e a ADC;";"Confederação Sindical. na ADI, na ADC não há manifestação do Advogado-Geral da União; C:";;A
256;9.868/1999), ADI por omissão ou ADO (868/1999) e ADC (868/1999). diferenças entre a ADI e a ADC, À EXCEÇÃO DE UMA. consolidado do STF e da doutrina, qual, dentre os órgãos (B) Manifestação do Advogado-Geral da União. e entidades listados abaixo, NÃO precisa demonstrar (C) Rol de legitimados para a propositura da ação. pertinência temática como condição para ajuizar Ação (D) Exigência de controvérsia judicial relevante. Direta de Inconstitucionalidade?;Mesa de Assembleia Legislativa ou Câmara Legislativa (DF). ou ato normativo federal ou estadual que afronte a Constituição Federal. Na ADC apenas lei ou ato normativo federal é que pode ser objeto (art.;A decisão do Tribunal de Justiça que declara a incons- (FGV – 2011) Suponha que o STF, em ação direta de titucionalidade de lei local em face da Constituição inconstitucionalidade (ADI), tenha julgado a lei X Estadual é irrecorrÃvel, ressalvada a oposição de inconstitucional. embargos declaratórios. CCOOMMOO PPAASSSSAARR OOAABB 1166EEDD..iinnddbb 116677 2277//0033//22002200 1111::3300::3333;Compete aos Estados a instituição de representação (;"Confederação Sindical. na ADI, na ADC não há manifestação do Advogado-Geral da União; C:";;A
257;atribuição a um único órgão, não dispõe, portanto, que será dada aos da Lei 9.882/1999). A decisão definitiva de mérito nas ações de controle mesmos órgãos e entidades legitimados a propositura de ação direta concentrado produz, em regra, três efeitos: erga omnes (eficácia contra RE 261.677, rel. Min. Sepúlveda Pertence, não ofende a Constituição do Poder Judiciário e a Administração Pública direta e indireta, nas Federal, a atribuição de legitimação ativa ao Deputado Estadual na esferas federal, estadual e um municipal. hipótese de ação direta de inconstitucionalidade no âmbito estadual. ”D“ otirabaG (FGV – 2011) O Presidente do Supremo Tribunal Federal, dade de deliberação plenária dos tribunais, no sistema de em recente entrevista, manifestou sua intenção em controle de constitucionalidade brasileiro, significa que: tornar as leis expedidas pelo Congresso Nacional mais;somente pelo voto da maioria absoluta de seus mem- protegidas contra as alegações de inconstitucionalidade bros ou dos membros do respectivo órgão especial apresentadas judicialmente, inserindo a atuação prévia da Suprema Corte. Esse controle de constitucionalidade poderão os tribunais declarar a inconstitucionalidade judicial preventivo pode ser considerado, consoante de lei ou ato normativo do Poder Público. nossos mandamentos constitucionais, (B) a parte legitimamente interessada pode recorrer ao;inserido no âmbito do controle realizado pelo Poder cionalidade de lei ou ato normativo.;adequado ao sistema federativo de controle de cons- bunais Superiores é que a matéria relativa a eventual titucionalidade. inconstitucionalidade da lei ou ato normativo pode;a ocorrer tanto no bojo da Câmara ou do Senado;;A
258;público, afasta sua incidência, no todo ou em parte, viola a cláusula ADIs e ADCs é que se dotam de efeito vinculante. Não as denegatórias. de reserva de plenário (CF, 948 e 949 do NCPC. reclamação não têm eficácia erga omnes (contra todos). 4. Agravo ”A“ otirabaG regimental a que se nega provimento. (AgRg na Rcl 3.424-1/SP, Pleno, j. 11.10.2007, rel. Min. Carlos Britto, DJe 01.08.2008, Ement. respeito da medida cautelar em sede de ação direta de determin;Tal medida não poderá ser apreciada em perÃodo de prazo de dez dias, e a manifestação do Advogado-Geral da União e do recesso ou férias, visto que é imperioso que seja con- Procurador-Geral da República, sucessivamente, no prazo de cinco dias, submeter o processo diretamente ao Tribunal, que terá a faculdade de cedida por decisão da maioria absoluta dos membros julgar definitivamente a ação.” do STF, após a audiência dos órgãos ou autoridades;Essa medida cautelar só poderá ser concedida se (;A decisão proferida em sede de cautelar, seja ela na ação declaratória de constitucionalidade, as deci- concessiva ou não, será dotada de eficácia contra sões do STF possuem força vinculante em relação aos todos, com efeito ex nunc, salvo se o STF entender demais tribunais e à administração pública federal, que deva conceder-lhe eficácia retroativa. independentemente de a decisão ter sido sumulada.;O relator, em face da relevância da matéria e de seu (B) Os tribunais de justiça nos estados podem desem- especial significado para a ordem social e a segurança penhar o controle abstrato e concentrado de leis jurÃdica, poderá, após a prestação das informações estaduais e municipais diretamente em face da CF. e a manifestação do advogado-geral da União e (C) O STF é o único órgão competente para desempenhar do procurador-geral da República, sucessivamente, o controle incidental de constitucionalidade no Brasil. submeter o processo diretamente ao STF, que terá a;;A
259;2.797-MC e na Rcl 2.381-AgR. 1. No julgamento da Rcl 2.381-AgR, o ção de descumprimento de preceito fundamental. CCOOMMOO PPAASSSSAARR OOAABB 1166EEDD..iinnddbb 116699 2277//0033//22002200 1111::3300::3333 cionalidade interventiva os mesmos que têm legitima- lar pelo STF, nas ações diretas de inconstitucionalidade, ção para propor ação direta de inconstitucionalidade (A) tem o mesmo efeito da revogação da lei ou ato nor- genérica. mativo impugnado. Estão certos apenas os itens (B) torna aplicável a legislação anterior acaso existente,;I e II. salvo expressa manifestação em sentido contrário.;I e III. (C) é sempre dotada de efeito ex tunc.;II e IV. (D) será dotada de eficácia erga omnes se houver expressa;III e IV. manifestação do Tribunal nesse sentido.;;A
260;2.797-MC e na Rcl 2.381-AgR. 1. No julgamento da Rcl 2.381-AgR, o ção de descumprimento de preceito fundamental. CCOOMMOO PPAASSSSAARR OOAABB 1166EEDD..iinnddbb 116699 2277//0033//22002200 1111::3300::3333 cionalidade interventiva os mesmos que têm legitima- lar pelo STF, nas ações diretas de inconstitucionalidade, ção para propor ação direta de inconstitucionalidade (A) tem o mesmo efeito da revogação da lei ou ato nor- genérica. mativo impugnado. Estão certos apenas os itens (B) torna aplicável a legislação anterior acaso existente,;I e II. salvo expressa manifestação em sentido contrário.;O governador de um Estado ou a Assembleia Legislativa (D) Juiz singular de primeiro grau, quando este julga;II e IV. (D) será dotada de eficácia erga omnes se houver expressa;III e IV. manifestação do Tribunal nesse sentido.;;C
261;"não existe, há apenas o projeto de lei, o Poder Judiciário está fazendo (FGV – 2013) O partido PKK pretende apresentar ação controle prévio ou preventivo de constitucionalidade;";O autor de ação declaratória de constitucionalidade (B) a norma estadual e municipal não podem ser con- deve demonstrar existência de controvérsia judicial frontadas com a Constituição Federal. na aplicação da norma pelos tribunais ao questionar (C) a controvérsia entre órgãos julgadores é requisito para a norma perante o Supremo Tribunal Federal (STF). a Ação Declaratória de Constitucionalidade mas não;Não se exige de governador de estado demonstração para a de Inconstitucionalidade. de pertinência temática para propositura de ação (D) o partido polÃtico não tem legitimidade para propor direta de inconstitucionalidade. ação de controle concentrado de constitucionalidade.;Resolução do Senado Federal é o instrumento ade- (E) o controle concentrado de constitucionalidade é quado para dar eficácia erga omnes à decisão de ação realizado pelo Superior Tribunal de Justiça. direta de inconstitucionalidade.;"A decisão na ação direta de inconstitucionalidade não contrário do mencionado, depende da comprovação da existência de tem eficácia vinculante. controvérsia judicial relevante sobre a aplicação da disposição objeto da ação declaratória (art. 14, III, da Lei 9.868/989); estaduais e municipais podem se confrontadas com a CF, tanto em sede mativo é pressuposto desta ação, cuja verificação está vinculada à existência de controle difuso (caso concreto) como em controle concentrado, de um número razoável de ações em que seja discutida a mesma questão desde que por ações especÃficas. Sendo assim, se estivermos tratando";;A
262;"do mencionado, tem legitimidade para propor as ações do controle órgãos do Poder Judiciário e à Administração Pública direta e indireta, nas concentrado (ADI, ADC e ADPF). De acordo com o ”A“ otirabaG podem propor a ação direta de inconstitucionalidade e a ação declaratória de constitucionalidade: I – o Presidente da República; II – a Mesa do tucionalidade, assinale a opção correta. Assembleia Legislativa ou da Câmara Legislativa do Distrito Federal; V – o Governador de Estado ou do Distrito Federal; VI – o Procurador-Geral da";"É cabÃvel a arguição de descumprimento a preceito República; VII – o Conselho Federal da Ordem dos Advogados do Brasil; fundamental mesmo quando houver outra medida VIII – partido polÃtico com representação no Congresso Nacional e eficaz para sanar a lesividade. IX – a confederação sindical ou entidade de classe de âmbito nacional;";No recurso extraordinário, o recorrente deverá demonstrar, em preliminar, a repercussão geral das realizado por dois órgãos: Supremo Tribunal Federal, quando o padrão de questões constitucionais discutidas no caso, nos confronto for a CF (art. 102, I, “a”, da CF) e os Tribunais de Justiça dos termos da lei, a fim de que o tribunal examine a Estados, quando a norma utilizada como paradigma for a Constituição admissão do recurso, somente podendo recusá-lo Estadual do respectivo Estado (art. 125, § 2º, da CF).;Os partidos polÃticos têm legitimidade para instaurar (FGV – 2013) Um partido polÃtico, com representação no o controle concentrado de constitucionalidade. Congresso Nacional, pretende propor ADIn contra lei;"É obrigatória a oitiva do Advogado-geral da União nas de iniciativa do Deputado Federal Y. A lei em referência, ações diretas de inconstitucionalidade por omissão. que dispõe sobre Processo Civil, teve trâmite regular no CCOOMMOO PPAASSSSAARR OOAABB 1166EEDD..iinnddbb 117711 2277//0033//22002200 1111::3300::3344 Congresso Nacional, foi sancionada pelo Presidente da na petição inicial, não fica o STF adstrito a eles na apreciação que faz República e já está em vigor. da constitucionalidade dos dispositivos questionados. É dominante no âmbito do Tribunal que na ADI (e na ADC) prevalece a causa petendi Nesse caso, assinale a alternativa que indica o polo aberta (ADI 259, Rel. Min. Moreira Alves, DJ de 19-2-1992, p.2030); passivo da ADIn.";;A
263;"(D) É obrigatória a oitiva do Advogado-geral da União nas de iniciativa do Deputado Federal Y. A lei em referência, ações diretas de inconstitucionalidade por omissão. que dispõe sobre Processo Civil, teve trâmite regular no CCOOMMOO PPAASSSSAARR OOAABB 1166EEDD..iinnddbb 117711 2277//0033//22002200 1111::3300::3344 Congresso Nacional, foi sancionada pelo Presidente da na petição inicial, não fica o STF adstrito a eles na apreciação que faz República e já está em vigor. da constitucionalidade dos dispositivos questionados. É dominante no âmbito do Tribunal que na ADI (e na ADC) prevalece a causa petendi Nesse caso, assinale a alternativa que indica o polo aberta (ADI 259, Rel. Min. Moreira Alves, DJ de 19-2-1992, p.2030);";Somente o Congresso Nacional. intervirá nos Estados nem no Distrito Federal, exceto para assegurar a;A exclusão de benefÃcio incompatÃvel com o princÃpio Constituição. da igualdade, a um determinado grupo de pessoas, (E) as normas do corpo permanente da Constituição, as pode caracterizar caso de omissão parcial do dever Disposições Constitucionais Transitórias e o texto das de legislar. Emendas Constitucionais.;A suspensão pelo Senado Federal da execução da;"A lei questionada e o Advogado-Geral da União. da administração pública, direta e indireta; e) aplicação do mÃnimo";Somente o Deputado Federal Y. exigido da receita resultante de impostos estaduais, compreendida a proveniente de transferências, na manutenção e desenvolvimento do Deve figurar no polo passivo da ação direta de inconstitucionalidade – ensino e nas ações e serviços públicos de saúde. Tais princÃpios são ADI o órgão ou a entidade responsável pela edição do ato normativo conhecidos pela doutrina como princÃpios constitucionais sensÃveis.;A
264;sua incidência, no todo ou em parte. ”C“ otirabaG “de ofÃcio ou por provocação, mediante decisão de dois terços dos seus membros, após reiteradas decisões sobre matéria constitucional, individual buscando a repetição de indébito tributário, efeito vinculante em relação aos demais órgãos do Poder Judiciário e à tendo como causa de pedir a inconstitucionalidade da Administração Pública direta e indireta, nas esferas federal, estadual e Lei Federal “X”, que criou o tributo. municipal, bem como proceder à sua revisão ou cancelamento, na forma Sobre a demanda, assinale a afirmativa correta. de inconstitucionalidade no controle difuso, pois a norma impugnada;"João não possui legitimidade para ingressar com a foi editada antes da Constituição Federal de 1988. A discussão gira em demanda, questionando a constitucionalidade da torno de a norma ter sido ou não recepcionada. Desse modo, como não Lei Federal “X”, atribuÃda exclusivamente às pessoas se trata de crise de inconstitucionalidade, não há que se cogitar a apli- e entidades previstas no art. 103 da Constituição. cação do art. 52, X, da CF;";"Caso a questão seja levada ao Supremo Tribunal uma situação que ocorre quando há crise de inconstitucionalidade, o Federal, em sede de recurso extraordinário, e este que não é o caso. O art. 949, parágrafo único, do NCPC trata de uma declarar a inconstitucionalidade da Lei Federal “X” exceção ao princÃpio da cláusula de reserva de plenário, algo que tem pela maioria absoluta dos seus membros, a decisão a ver quando se discute a inconstitucionalidade de uma norma e não incompatibilidade; terá eficácia contra todos e efeitos vinculantes. de modo que, ainda que fosse crise de inconstitucionalidade, os efeitos";O órgão colegiado, em sede de apelação, não pode atingiriam apenas as partes.;O juiz de primeiro grau não detém competência para nalidade do referido tributo. O juiz proferiu sentença a declaração de inconstitucionalidade de lei ou ato concedendo a ordem pleiteada, declarando para tanto a normativo, mas somente o Tribunal de segundo grau inconstitucionalidade da lei. Indignada, a União federal e desde que haja prévio pronunciamento do plenário interpôs recurso ao tribunal, que manteve a decisão do Supremo Tribunal Federal sobre a questão. pelos mesmos fundamentos. Por fim, a União federal interpôs recurso ao STF, que também manteve a decisão, pois está alegando a inconstitucionalidade da lei em sede de controle Diante desse caso, é correto afirmar que a declaração difuso. A atribuição exclusiva às pessoas e autoridades previstas no de inconstitucionalidade art. 103 da CF é aplicada ao controle concentrado, realizado por meio;;A
265;a declaração de inconstitucionalidade de lei ou ato concedendo a ordem pleiteada, declarando para tanto a normativo, mas somente o Tribunal de segundo grau inconstitucionalidade da lei. Indignada, a União federal e desde que haja prévio pronunciamento do plenário interpôs recurso ao tribunal, que manteve a decisão do Supremo Tribunal Federal sobre a questão. pelos mesmos fundamentos. Por fim, a União federal interpôs recurso ao STF, que também manteve a decisão, pois está alegando a inconstitucionalidade da lei em sede de controle Diante desse caso, é correto afirmar que a declaração difuso. A atribuição exclusiva às pessoas e autoridades previstas no de inconstitucionalidade art. 103 da CF é aplicada ao controle concentrado, realizado por meio;"vale apenas para a empresa XYZ Ltda. das seguintes ações: ação direita de inconstitucionalidade (ADI), ação declaratória de constitucionalidade (ADC) e arguição de descumpri- (B) vale para as empresas que atuam no mesmo ramo. mento de preceito fundamental (ADPF); decisão seja proferida pelo STF, como foi dada em um caso concreto (D) só terá validade após a suspensão pelo Congresso (controle difuso) os efeitos, em regra, são inter partes (para as partes) Nacional. e ex tunc (retroativos). Há possibilidade de ampliação desses efeitos";"ao Presidente da República editar decreto para tornar concreto; não se trata, pois, de objetivo principal da lide, mas, sim, inválida a lei no âmbito da administração pública. de mero incidente, afetando tão somente as partes do processo, de";"ao Senado Federal suspender a execução da lei, forma retroativa;";;"só terá validade após a suspensão pela Câmara dos caso o STF comunique ao Senado Federal que a norma foi declarada inconstitucional de forma definitiva e este determine que seja suspensa a execução da lei no todo ou em parte (art. 52, X, da CF); A presente hipótese trata-se de um exemplo de controle difuso de De fato, quando a declaração de inconstitucionalidade tiver de ser constitucionalidade. Desse modo, como a decisão, dada em sede de dada por um tribunal, a Constituição Federal exige que seja feita pelo controle difuso, em regra, produz efeitos inter partes, a declaração de";A
266;"dessa forma, eficácia erga omnes, de lei declarada inconstitucional por decisão definitiva do STF; O A competência atribuÃda ao Senado Federal pelo No controle concentrado, a decisão do STF, por si só, produz efeitos contra todos (ou erga omnes) e vinculantes, por força do 28, parágrafo único, da Lei 9.868/1999. titucionalidade, isenção sobre o tributo incidente em operações relativas";somente os tribunais poderão declarar a inconstitu- à circulação interestadual de mercadorias (ICMS) usadas cionalidade das leis e atos normativos, pelo voto da como insumo pela indústria automobilÃstica. maioria dos seus membros. O Estado Alfa, com isso, atraiu o interesse de diversas;a declaração de inconstitucionalidade nunca produ- montadoras em ali se instalarem. A Lei Estadual X, no zirá efeitos erga omnes. entanto, contraria norma da Constituição da República;as decisões proferidas em única ou última instância que dispõe caber a lei complementar regular a forma de estarão sujeitas a recurso extraordinário, quando concessão de incentivos, isenções e benefÃcios fiscais declararem a inconstitucionalidade de lei federal. relativos ao ICMS, mediante deliberação dos Estados e do Distrito Federal. Em razão da Lei Estadual X, o Estado;"o processo deverá ser suspenso, se houver ação direta Beta, conhecido polo automobilÃstico, sofrerá drásticas de inconstitucionalidade contra a mesma lei ou ato perdas em razão da redução na arrecadação tributária, normativo pendente de julgamento no STF. com a evasão de indústrias e fábricas para o Estado Alfa. por qualquer juÃzo ou tribunal do Poder Judiciário;";;A
267;em 2012, é objeto de Ação Direta de Inconstituciona- do mês de fevereiro de 2015, o Presidente da República lidade proposta por partido polÃtico com representação promulgou a Lei X, revogando integralmente a Lei Y, no Congresso Nacional. O referido diploma legal é momento em que esta última deixou de produzir os seus declarado materialmente inconstitucional pelo Supremo efeitos concretos. Tribunal Federal (STF), em março de 2014. Nesse caso, segundo entendimento cristalizado no âmbito Em outubro de 2016, membro da Câmara dos Deputados do Supremo Tribunal Federal, apresenta novo projeto de lei ordinária contendo regras;deverá a ADI seguir a sua regular tramitação, de modo idênticas àquelas declaradas materialmente inconstitu- que se possam discutir os efeitos produzidos no inter- valo de tempo entre a promulgação e a revogação da Tomando por base o caso apresentado acima, assinale;Em observância ao precedente firmado na referida (D) em razão da separação de poderes, deverá ser reco- Ação Direta de Inconstitucionalidade, o plenário do nhecida a impossibilidade de o Supremo Tribunal STF pode, em sede de controle preventivo, obstar Federal avaliar as matérias debatidas, sob a ótica a votação do novo projeto de lei por conter regras polÃtica, pelo Poder Legislativo. idênticas àquelas já declaradas inconstitucionais.;A decisão proferida pelo STF não vincula o Poder A e;"A decisão proferida pelo STF é ineficaz em relação prejudicialidade da ação, por “perda do objeto”. Isso porque, segundo a terceiros, porque o partido polÃtico com represen- o STF, a declaração em tese de lei ou ato normativo não mais existente tação no Congresso Nacional não está elencado no transformaria a ADI em instrumento de proteção de situações jurÃdicas rol constitucional de legitimados aptos a instaurar o pessoais e concretas (STF, Pleno, ADI 737/DF, Rel. Min. Moreira Alves). processo objetivo de controle normativo abstrato. Esses questionamentos deverão ser alegados na via ordinária, ou seja, pelo intermédio do controle difuso de constitucionalidade”. Vale lembrar lativa, de modo que pode ser aprovado novo projeto de lei ordinária, meira explicação;";;A
268;tende, pois a lei não possui vÃcio de inconstituciona- que se declare inconstitucional o e determinou que sua decisão só acarretasse efeitos a (D) Não haveria vÃcio de inconstitucionalidade, caso a lei partir do seu trânsito em julgado. estadual tivesse status de lei complementar, ao invés Com base na situação acima, assinale a afirmativa correta.;O STF como órgão do Poder Judiciário, por força do princÃpio da correlação, não poderia julgar de forma ADI (Ação Direta de Inconstitucionalidade) contra a norma (art. 103, distinta daquela requerida pela parte autora. V, da CF). Para ajuizar a ação não é necessária a prévia autorização;"O STF, no controle abstrato de constitucionalidade, da Assembleia Legislativa do seu Estado, basta que o Governador demonstre a pertinência temática, ou seja, que a pretensão deduzida não está adstrito ao pedido formulado na inicial, possui relação de pertinência com os objetivos institucionais; B: podendo, inclusive, fazer uma interpretação conforme";"A modulação dos efeitos das decisões do STF em União; Ação Direta de Inconstitucionalidade (ADI) é possÃvel, vÃcio de inconstitucionalidade permaneceria, ainda que a norma tivesse desde que com a aprovação da maioria absoluta dos status de lei complementar.";O STF não pode fixar os efeitos da decisão a partir do (;;A
269;"o Governador ajuÃza ação direta de inconstitucionalidade controle de constitucionalidade por meio de ADI; perante o Supremo Tribunal Federal, arguindo a invali- vinculante, prevista no 417/2006). Sendo assim, não pode indicar a fonte de receita necessária. ser objeto da ADI. Há na doutrina e na jurisprudência quem entenda Considerando as normas existentes a respeito do controle ”D“ otirabaG de constitucionalidade, assinale a alternativa que indica 4.4. Ação direta de inconstitucionalidade por o correto posicionamento do STF.";Não terá alternativa senão declarar a inconstituciona- lidade da lei, por vÃcio de iniciativa, com efeitos ex;Não poderá acatar os argumentos da ação direta, que objetive a regulamentação de norma da CF uma vez que o Governador foi quem autorizou a somente pode ser ajuizada pelos sujeitos enumerados realização do concurso e deu posse aos candidatos, no artigo 103 da CF, sendo a competência para o seu de modo que a ação proposta por ele mesmo viola a julgamento privativa do STF. segurança jurÃdica, denotando conduta contraditória. (B) Na omissão inconstitucional total ou absoluta, o;Deverá realizar uma ponderação de princÃpios e legislador deixa de proceder à completa integração poderá, ao final, decidir pela constitucionalidade da constitucional, regulamentando deficientemente a lei e pela sua manutenção no ordenamento jurÃdico, norma da CF. apesar da afronta à Constituição, caso em que julgará (C) A omissão inconstitucional pode ser sanada mediante improcedente a ação. dois instrumentos: o mandado de injunção, ação pró-;"Poderá, ao declarar a inconstitucionalidade, e pelo pria do controle de constitucionalidade concentrado; voto de dois terços dos ministros, restringir os efeitos e a ação direta de inconstitucionalidade por omissão, da decisão ou decidir que ela só tenha eficácia a partir instrumento do controle difuso de constitucionali- de seu trânsito em julgado ou de outro momento que dade. venha a ser fixado, preservando os atos já praticados (D) O mandado de injunção destina-se à proteção de pelos fiscais. qualquer direito previsto constitucionalmente, mas inviabilizado pela ausência de norma integradora. determinando a exoneração de todos os aprovados e a anulação dos atos praticados haveria flagrante violação aos princÃpios da segurança omissão inconstitucional total ou absoluta, há ausência de legislação jurÃdica e da supremacia do interesse público;";;A
270;a criação de cargos, funções ou empregos públicos na administração O decisão deve ser pela inconstitucionalidade da norma e não pela cons- declarar a inconstitucionalidade, pelo voto de dois terços dos ministros, Direta de Inconstitucionalidade por omissão, sendo cons- modular os efeitos da decisão. É o que se extrai da leitura do Outorgado da Lei 9.868/1999. prazo para regularização, o mesmo transcorre in albis, gerando decisão indeferitória da exordial. direta de inconstitucionalidade (A) impassÃvel de recurso.;decreto que promulga tratado. (B) atacável por apelação.;decreto legislativo que aprova tratado. (C) passÃvel de agravo.;resolução. (D) enfrentável por recurso ordinário.;súmula vinculante. (E) cabÃvel para recurso especial. CCOOMMOO PPAASSSSAARR OOAABB 1166EEDD..iinnddbb 117788 2277//0033//22002200 1111::3300::3344 De acordo com o art. 4º da Lei 9.868/99, a petição inicial inepta, não (D) A ADPF não pode ser admitida, pois o Presidente da fundamentada e a manifestamente improcedente serão liminarmente República, na qualidade de chefe do Poder Executivo, indeferidas pelo relator. O parágrafo único do mesmo dispositivo não detém legitimidade ativa para suscitar a inconsti- determina que o recurso cabÃvel quando a decisão indeferir a petição tucionalidade de ato proferido por membros do Poder inicial é o agravo. Judiciário, sob pena de vulneração ao princÃpio da;;A
271;a criação de cargos, funções ou empregos públicos na administração O decisão deve ser pela inconstitucionalidade da norma e não pela cons- declarar a inconstitucionalidade, pelo voto de dois terços dos ministros, Direta de Inconstitucionalidade por omissão, sendo cons- modular os efeitos da decisão. É o que se extrai da leitura do Outorgado da Lei 9.868/1999. prazo para regularização, o mesmo transcorre in albis, gerando decisão indeferitória da exordial. direta de inconstitucionalidade (A) impassÃvel de recurso.;decreto que promulga tratado. (B) atacável por apelação.;pode ser proposta por qualquer cidadão, perante o Público. Podem ser incluÃdos no conceito de “atos do Poder Público” os normativos produzidos pelo Legislativo, as decisões judiciais, os;somente será julgada se existir controvérsia judicial atos administrativos que atentem preceitos fundamentais da CF, dentre relevante sobre a aplicação da lei ou do ato normativo outros. Vale lembrar que a ação é subsidiária e, portanto, só pode ser de que trata a ação. ajuizada quando não houver outro meio eficaz para sanar a lesividade,;"não admite pedido de medida cautelar, haja vista conforme determina o art. 4°, §1°, da Lei n° 9.882/99; a presunção de constitucionalidade das leis e atos A Lei n° 9.882/99 não conceitua preceito fundamental, de modo que normativos. não existe um rol taxativo nesse sentido. Ao contrário, deixa em aberto para que o Supremo, ao conhecer das ações, defina. A Corte Maior já na ordem jurÃdica brasileira pela EC 3, de 17.03.1993; Os legitimados para a propositura dessa ação são os mesmos para a tos fundamentais; propositura da ação direta de inconstitucionalidade (art. 103, I a IX, da podem ser impugnadas por meio de ADPF. O Presidente da República da constitucionalidade da lei ou ato normativo, o que é mensurado por há violação ao princÃpio da separação dos poderes. BV";;A
